LSOA	value
E01001323	1
E01001341	0
E01001342	0
E01001343	0
E01001345	0
E01001265	1
E01001266	2
E01001267	1
E01001272	1
E01001349	0
E01001344	1
E01001346	0
E01001347	2
E01001348	2
E01001257	2
E01001324	0
E01001326	0
E01001330	1
E01001332	1
E01001325	1
E01001327	1
E01001328	1
E01001329	1
E01001331	0
E01001258	0
E01001262	0
E01001263	0
E01001264	0
E01032743	0
E01032744	2
E01001276	1
E01001277	1
E01001278	1
E01001280	1
E01001218	0
E01001260	1
E01001261	2
E01001268	0
E01001209	0
E01001211	0
E01001279	0
E01001281	0
E01001217	0
E01001259	1
E01001291	1
E01001292	0
E01001293	0
E01001196	1
E01001238	2
E01001239	1
E01001246	1
E01001247	2
E01001210	0
E01001282	0
E01001283	1
E01001285	0
E01001286	0
E01001287	0
E01001294	1
E01001295	0
E01001296	0
E01001297	0
E01001298	1
E01001204	0
E01001205	0
E01001206	0
E01001207	1
E01001208	0
E01001212	0
E01001222	2
E01001224	0
E01001226	0
E01001227	0
E01001228	0
E01001221	2
E01001223	0
E01001225	2
E01001235	0
E01001236	0
E01001273	0
E01001274	0
E01001275	0
E01001195	0
E01001197	0
E01001198	0
E01001199	1
E01001284	0
E01001288	0
E01001289	0
E01001290	1
E01001213	0
E01001214	0
E01001215	1
E01001216	0
E01001361	2
E01001240	0
E01001241	0
E01001242	0
E01001243	1
E01001244	1
E01001245	1
E01001200	0
E01001201	0
E01001202	2
E01001203	2
E01001351	2
E01001359	0
E01001360	2
E01001362	1
E01001363	1
E01001364	1
E01001365	2
E01001231	1
E01001234	1
E01001350	0
E01001352	0
E01001354	2
E01001249	2
E01001250	1
E01001255	0
E01001383	0
E01001388	1
E01001389	1
E01001219	0
E01001220	1
E01001334	1
E01001337	2
E01001338	2
E01001339	1
E01001340	0
E01001251	1
E01001252	2
E01001253	0
E01001254	1
E01001229	0
E01001230	0
E01001232	0
E01001233	1
E01001237	0
E01001386	1
E01001303	0
E01001382	0
E01001384	0
E01001385	0
E01001387	1
E01001353	0
E01001355	1
E01001356	1
E01001357	0
E01001358	1
E01001375	0
E01001377	0
E01001379	0
E01001381	1
E01001248	1
E01001299	0
E01001305	0
E01001306	0
E01001366	1
E01001367	1
E01001368	0
E01001370	2
E01001371	1
E01001372	1
E01001373	1
E01001333	2
E01001335	0
E01001336	0
E01001369	2
E01001300	0
E01001301	0
E01001302	0
E01001304	0
E01001374	0
E01001376	1
E01001380	0
E01032572	0
E01030330	0
E01001444	0
E01001446	0
E01001546	0
E01001552	1
E01001442	0
E01001545	1
E01001547	1
E01001548	1
E01001551	1
E01001445	2
E01001447	1
E01001448	1
E01001449	0
E01033148	0
E01033150	1
E01001408	0
E01001411	0
E01001412	1
E01001413	0
E01001414	0
E01001407	0
E01001409	1
E01001410	1
E01001516	1
E01001537	0
E01001439	1
E01001441	1
E01001517	1
E01001549	2
E01001550	0
E01001433	1
E01001434	0
E01001435	0
E01001436	0
E01001438	1
E01001469	0
E01001536	2
E01001540	0
E01001541	0
E01001542	0
E01001538	0
E01001539	0
E01001543	0
E01001544	0
E01001457	1
E01001468	1
E01001471	0
E01001472	0
E01001474	0
E01001415	1
E01001417	0
E01001418	1
E01001422	0
E01001440	2
E01001504	1
E01001505	1
E01001507	2
E01001508	1
E01001513	2
E01001416	0
E01001470	0
E01001473	0
E01001475	0
E01001437	2
E01001506	1
E01001509	1
E01001510	1
E01001405	0
E01001406	1
E01001450	1
E01001512	0
E01001515	1
E01001401	1
E01001478	0
E01001484	0
E01001511	2
E01001514	0
E01001518	1
E01001451	1
E01001452	0
E01001453	0
E01001454	0
E01001476	0
E01001477	1
E01001481	0
E01001502	1
E01001503	0
E01001520	0
E01001522	1
E01001523	0
E01001524	0
E01001419	0
E01001420	0
E01001421	0
E01001519	2
E01001525	0
E01001398	0
E01001399	0
E01001400	0
E01001402	0
E01001403	0
E01001455	1
E01001456	0
E01001564	0
E01001567	0
E01001568	0
E01001569	1
E01001479	2
E01001482	0
E01001487	1
E01001489	0
E01001491	1
E01001459	0
E01001460	1
E01001462	1
E01001480	0
E01001488	0
E01001483	0
E01001485	1
E01001486	1
E01001492	0
E01033146	0
E01033151	1
E01001404	0
E01001493	0
E01001494	0
E01001496	0
E01001570	1
E01001423	1
E01001425	2
E01001428	0
E01001461	1
E01001464	0
E01001521	0
E01001531	0
E01001532	0
E01001533	0
E01001535	0
E01001495	0
E01001498	1
E01001563	0
E01001565	0
E01001566	0
E01001424	1
E01001426	0
E01001427	1
E01001429	2
E01001430	2
E01001463	0
E01001465	1
E01001466	0
E01001467	0
E01001497	0
E01001499	0
E01001392	0
E01001528	0
E01001529	1
E01001530	0
E01001534	1
E01001431	0
E01001432	2
E01001555	2
E01001557	0
E01001558	1
E01001559	2
E01001394	0
E01001395	1
E01001397	0
E01001500	0
E01001556	0
E01001560	0
E01001390	0
E01001391	1
E01001393	0
E01001396	0
